Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Size (product.metafields.shopify.size),Target gender (product.metafields.shopify.target-gender),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
banarasi-soft-semi-katan-silk-saree-blue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/Banarasi_Soft_Semi_Katan_Silk_Saree_Blue-9.webp?v=1771660645,11,Woman in a blue saree with silver border standing in front of a decorative arch.,,,,,,,,,,,,,,,,,,,,,,,,,,
banarasi-soft-organza-silk-saree-golden,Banarasi Soft Organza Silk Saree Golden,"<h3>🌟 Key Features</h3>
<ul>
<li>🧵 <strong>Fabric:</strong> Soft Organza Silk – delicate &amp; graceful drape</li>
<li>🎨 <strong>Color:</strong> Golden with intricate embroidery adorning the entire fabric</li>
<li>✨ <strong>Detailing:</strong> Luxurious all-over embroidery work</li>
<li>🪡 <strong>Blouse Piece:</strong> Beautifully embroidered sleeves for added sophistication</li>
<li>📏 <strong>Length:</strong> Saree – 5.5 meters | Blouse Piece – 1 meter</li>
<li>🚚 <strong>Shipping:</strong> Free delivery across India within 7-10 business days</li>
<li>💳 <strong>Payment:</strong> Cash on Delivery (COD) available</li>
<li>💰 <strong>Pricing:</strong> Inclusive of all taxes (GST included)</li>
<li>🧼 <strong>Care Instructions:</strong> Dry clean only</li>
</ul>

<h3>✨ Product Description</h3>
<p>Explore the elegance of our Banarasi Soft Organza Silk Saree in Golden, crafted with intricate embroidery that adorns the entire fabric, offering a luxurious touch to your traditional attire. The soft organza silk lends a delicate and graceful drape, making it perfect for any occasion. The blouse is designed with beautiful embroidered sleeves, adding a touch of sophistication and enhancing the overall ensemble. Whether you're attending a wedding, festive occasion, or any special event, this embroidered Banarasi Soft Organza Silk saree will undoubtedly make you stand out with grace and charm. The stunning Golden shade brings timeless elegance and festive charm to every drape.</p>",Ijor Ethnic,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,"","Banarasi, Embriodered, Golden, Organza, Saree, Silk",true,Title,Default Title,,,,,,,,80SAZ125BSP,900.0,,-1,deny,manual,3498.00,4459.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/Banarasi_Soft_Organza_Silk_Saree_Golden_feat_Gana_Murali-3.webp?v=1777358285,1,"Gana Murali in a traditional Banarasi Soft Organza Silk Saree Golden with floral patterns, standing outdoors.",false,Banarasi Soft Organza Silk Saree Golden | All-Over Embroidery | Ijor Ethnic,Elegant Golden Banarasi Soft Organza Silk saree with intricate all-over embroidery & embroidered sleeves. Perfect for weddings. Free shipping & COD across India.,8248,,adult,,,,,,,,,,'1,adults,floral,silk,,female,,kg,,,active
banarasi-soft-organza-silk-saree-golden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/Banarasi_Soft_Organza_Silk_Saree_Golden_feat_Gana_Murali-2.webp?v=1777358285,2,Gana Murali in a traditional Banarasi Soft Organza Silk Saree Golden standing outdoors under the sun kissed light.,,,,,,,,,,,,,,,,,,,,,,,,,,
banarasi-soft-organza-silk-saree-golden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/Banarasi_Soft_Organza_Silk_Saree_Golden_feat_Gana_Murali.webp?v=1777358285,3,Gana Murali in a traditional Banarasi Soft Organza Silk Saree Golden standing under the sun shade among planters. ,,,,,,,,,,,,,,,,,,,,,,,,,,
banarasi-soft-organza-silk-saree-ivory,Banarasi Soft Organza Silk Saree Ivory,"<h3>🌟 Key Features</h3>
<ul>
<li>🧵 <strong>Fabric:</strong> Soft Organza Silk – delicate &amp; graceful drape</li>
<li>🎨 <strong>Color:</strong> Ivory with intricate embroidery adorning the entire fabric</li>
<li>✨ <strong>Detailing:</strong> Luxurious all-over embroidery work</li>
<li>🪡 <strong>Blouse Piece:</strong> Beautifully embroidered sleeves for added sophistication</li>
<li>📏 <strong>Length:</strong> Saree – 5.5 meters | Blouse Piece – 1 meter</li>
<li>🚚 <strong>Shipping:</strong> Free delivery across India within 7-10 business days</li>
<li>💳 <strong>Payment:</strong> Cash on Delivery (COD) available</li>
<li>💰 <strong>Pricing:</strong> Inclusive of all taxes (GST included)</li>
<li>🧼 <strong>Care Instructions:</strong> Dry clean only</li>
</ul>

<h3>✨ Product Description</h3>
<p>Explore the elegance of our Banarasi Soft Organza Silk Saree in Ivory, crafted with intricate embroidery that adorns the entire fabric, offering a luxurious touch to your traditional attire. The soft organza silk lends a delicate and graceful drape, making it perfect for any occasion. The blouse is designed with beautiful embroidered sleeves, adding a touch of sophistication and enhancing the overall ensemble. Whether you're attending a wedding, festive occasion, or any special event, this embroidered Banarasi Soft Organza Silk saree will undoubtedly make you stand out with grace and charm. The pristine Ivory shade brings timeless elegance and sophistication to every drape.</p>",Ijor Ethnic,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,"","Banarasi, Embriodered, Organza, Saree, Silk",true,Title,Default Title,,,,,,,,78SAZ125BSI,900.0,,0,deny,manual,3498.00,4459.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/Banarasi_Soft_Organza_Silk_Saree_Ivory_feat._Nav_Kaur-3.webp?v=1780559994,1,Nav Kaur wearing a Banarasi Soft Organza Silk Saree Ivory with floral patterns standing outdoors.,false,Banarasi Soft Organza Silk Saree Ivory | All-Over Embroidery | Ijor Ethnic,Elegant Ivory Banarasi Soft Organza Silk saree with intricate all-over embroidery & embroidered sleeves. Perfect for weddings. Free shipping & COD across India.,8248,,adult,,,,,,,,,,'2,adults,floral,silk,,female,,kg,,,active
banarasi-soft-organza-silk-saree-ivory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/Banarasi_Soft_Organza_Silk_Saree_Ivory_feat._Nav_Kaur-5.webp?v=1780559994,2,Nav Kaur wearing a Banarasi Soft Organza Silk Saree Ivory with floral embroidery in an outdoor setting,,,,,,,,,,,,,,,,,,,,,,,,,,
banarasi-soft-organza-silk-saree-ivory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/Banarasi_Soft_Organza_Silk_Saree_Ivory_feat._Nav_Kaur-2.webp?v=1780559993,3,Nav Kaur wearing a Banarasi Soft Organza Silk Saree Ivory with floral patterns in an indoor setting,,,,,,,,,,,,,,,,,,,,,,,,,,
banarasi-soft-organza-silk-saree-ivory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/Banarasi_Soft_Organza_Silk_Saree_Ivory_feat._Nav_Kaur-4.webp?v=1780559994,4,"Nav Kaur wearing a Banarasi Soft Organza Silk Saree Ivory with floral patterns, standing against a neutral background.",,,,,,,,,,,,,,,,,,,,,,,,,,
banarasi-soft-organza-silk-saree-ivory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/Banarasi_Soft_Organza_Silk_Saree_Ivory_feat._Nav_Kaur.webp?v=1780559994,5,Nav Kaur wearing a Banarasi Soft Organza Silk Saree Ivory with floral patterns in an outdoor setting,,,,,,,,,,,,,,,,,,,,,,,,,,
rajasi-shaan-golden-zari-pure-tissue-cotton-saree-cotton-saree-ijor,Rajasi Shaan Golden Zari Pure Tissue Cotton Saree | Cotton Saree IJOR,"<h2>Key Features</h2>
<p>🧵 <strong>Fabric:</strong> Pure Tissue Cotton – a luxurious blend of cotton and tissue silk for breathable shimmer.</p>
<p>🎨 <strong>Color:</strong> Regal Panna (Emerald) Green with bold Golden Zari stripes.</p>
<p>✨ <strong>Detailing:</strong> Horizontal Golden Zari stripes across the body and hand-crafted golden tassels on the pallu.</p>
<p>👗 <strong>Blouse Piece:</strong> Matching running blouse piece included for a coordinated look.</p>
<p>📏 <strong>Length:</strong> Saree – 5.5 meters | Blouse Piece – 1 meter.</p>
<p>🚚 <strong>Shipping:</strong> Free delivery across India within 7-10 business days.</p>
<p>💳 <strong>Payment:</strong> Cash on Delivery available.</p>
<p>💰 <strong>Pricing:</strong> Inclusive of all taxes/GST included.</p>
<p>🧼 <strong>Care Instructions:</strong> Dry clean or dry wash only to preserve the fabric's natural beauty.</p>

<h2>Product Description</h2>
<p>Step into regal brilliance with the Rajasi Shaan Golden Zari Saree, a crown jewel in the IJOR collection. This saree is a masterclass in texture, blending the earthy comfort of pure cotton with the ethereal shimmer of tissue silk. The body is drenched in a deep Panna (Emerald) Green, a color synonymous with prosperity and royal heritage.</p>
<p>Woven across the length are bold horizontal Golden Zari stripes, creating a structured, architectural aesthetic that captures light beautifully. The pallu is meticulously finished with hand-crafted golden tassels, adding a playful yet sophisticated movement to the drape. Lightweight, breathable, and unmistakably luxurious, this saree is designed for the woman who commands attention with grace and celebrates India's rich handloom heritage.</p>",Ijor Ethnic,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,Pure Mul Cotton,Saree,true,Title,Default Title,,,,,,,,165SDE226RSG,400.0,,0,deny,manual,2665.00,3159.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/RajasiShaanGoldenZariPureTissueCottonSaree-7.webp?v=1771321326,1,"",false,Rajasi Shaan Golden Zari Pure Tissue Cotton Saree | Ijor Ethnic,Pure Tissue Cotton saree in Panna Green with Golden Zari stripes & hand-tied tassels. Includes blouse piece. Free delivery & COD across India.,8248,,,,,,,,,,,,,,green,,,,,g,,325.00,active
rajasi-shaan-golden-zari-pure-tissue-cotton-saree-cotton-saree-ijor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/RajasiShaanGoldenZariPureTissueCottonSaree-2.webp?v=1771321326,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,
rajasi-shaan-golden-zari-pure-tissue-cotton-saree-cotton-saree-ijor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/RajasiShaanGoldenZariPureTissueCottonSaree-4.webp?v=1771321326,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,
rajasi-shaan-golden-zari-pure-tissue-cotton-saree-cotton-saree-ijor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/RajasiShaanGoldenZariPureTissueCottonSaree-5.webp?v=1771321326,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,
rajasi-shaan-golden-zari-pure-tissue-cotton-saree-cotton-saree-ijor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/RajasiShaanGoldenZariPureTissueCottonSaree-6.webp?v=1771321326,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,
rajasi-shaan-golden-zari-pure-tissue-cotton-saree-cotton-saree-ijor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/RajasiShaanGoldenZariPureTissueCottonSaree-8.webp?v=1771321166,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,
jharokha-pure-cotton-saree-cotton-saree-ijor,Jharokha Pure Cotton Saree Black and Yellow |  IJOR,"<h2>Key Features</h2>
<p>🧵 <strong>Fabric:</strong> 100% Premium Pure Cotton – soft, breathable, and handwoven for authentic comfort.</p>
<p>🎨 <strong>Color:</strong> Classic Black body with radiant Ochre-Gold pallu and vibrant Yellow-Gold Jharokha border.</p>
<p>✨ <strong>Detailing:</strong> Temple-style Jharokha border inspired by royal palace architecture, woven with meticulous precision.</p>
<p>👗 <strong>Blouse Piece:</strong> Matching running blouse piece included for a coordinated look.</p>
<p>📏 <strong>Length:</strong> Saree – 5.5 meters | Blouse Piece – 1 meter.</p>
<p>🚚 <strong>Shipping:</strong> Free delivery across India within 7-10 business days.</p>
<p>💳 <strong>Payment:</strong> Cash on Delivery available.</p>
<p>💰 <strong>Pricing:</strong> Inclusive of all taxes/GST included.</p>
<p>🧼 <strong>Care Instructions:</strong> Dry clean or dry wash only to preserve the fabric's natural beauty.</p>

<h2>Product Description</h2>
<p>Inspired by the intricate stone-carved windows of royal palaces, the Jharokha Pure Cotton Saree by IJOR is a tribute to timeless Indian geometry. Crafted from 100% premium pure cotton, this saree features a striking contrast between a deep, midnight black body and a radiant ochre-gold pallu. The defining feature is the temple-style Jharokha border, woven with meticulous precision in a vibrant yellow-gold thread that adds an architectural edge to the soft, breathable fabric.</p>
<p>Designed for the woman who appreciates the classic ""Black and Gold"" aesthetic, this saree offers a lightweight drape that transitions effortlessly from corporate power-dressing to intimate evening gatherings. It embodies the essence of sustainable, authentic Indian ethnic wear while celebrating India's rich handloom heritage with modern versatility.</p>",Ijor Ethnic,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,Pure Mul Cotton,Saree,true,Title,Default Title,,,,,,,,166SDE226JB,400.0,,-1,deny,manual,1954.00,2599.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/JharokhaPureCottonSareeBlackandYellowftDivyaDarshini-8.webp?v=1776166329,1,Divya Darshini ft. in Jharokha Pure Cotton Saree Black and Yellow with a blurred outdoor background,false,Jharokha Pure Cotton Saree | Ijor Ethnic,"Pure cotton saree with classic black body, vibrant gold Jharokha temple border. Includes blouse piece. Free delivery & COD across India.",8248,,,,,,,,,,,,,,green,,,,,g,,325.00,active
jharokha-pure-cotton-saree-cotton-saree-ijor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/JharokhaPureCottonSareeBlackandYellowftDivyaDarshini-5.webp?v=1776166329,2,Divya Darshini ft in Jharokha Pure Cotton Saree Black and Yellow with gold temple border standing outdoors.,,,,,,,,,,,,,,,,,,,,,,,,,,
jharokha-pure-cotton-saree-cotton-saree-ijor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/JharokhaPureCottonSareeBlackandYellowftDivyaDarshini-7.webp?v=1776166329,3,Divya Darshini ft in Jharokha Pure Cotton Saree Black and Yellow  standing outdoors with trees and buildings in the background,,,,,,,,,,,,,,,,,,,,,,,,,,
jharokha-pure-cotton-saree-cotton-saree-ijor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/JharokhaPureCottonSareeBlackandYellowftDivyaDarshini-2.webp?v=1776166329,4,Divya Darshini ft in Jharokha Pure Cotton Saree Black and Yellow with gold temple border sitting on a bench.,,,,,,,,,,,,,,,,,,,,,,,,,,
jharokha-pure-cotton-saree-cotton-saree-ijor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/JharokhaPureCottonSareeBlackandYellowftDivyaDarshini-3.webp?v=1776166329,5,Divya Darshini ft in Jharokha Pure Cotton Saree Black and Yellow with gold temple border standing outdoors.,,,,,,,,,,,,,,,,,,,,,,,,,,
jharokha-pure-cotton-saree-cotton-saree-ijor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/JharokhaPureCottonSareeBlackandYellowftDivyaDarshini-4.webp?v=1776166329,6,Divya Darshini ft in Jharokha Pure Cotton Saree Black and Yellow  with gold  temple border standing outdoors.,,,,,,,,,,,,,,,,,,,,,,,,,,
jharokha-pure-cotton-saree-cotton-saree-ijor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/JharokhaPureCottonSareeBlackandYellowftDivyaDarshini-6.webp?v=1776166329,7,Divya Darshini ft in Jharokha Pure Cotton Saree Black and Yellow border standing outdoors on a street.,,,,,,,,,,,,,,,,,,,,,,,,,,
jharokha-pure-cotton-saree-cotton-saree-ijor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/JharokhaPureCottonSareeBlackandYellowftDivyaDarshini.webp?v=1776166816,8,Divya Darshini ft in Jharokha Pure Cotton Saree Black and Yellow  posing in front of a store with visible branding.,,,,,,,,,,,,,,,,,,,,,,,,,,
jharokha-pure-cotton-saree-cotton-saree-ijor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/JharokhaPureCottonSaree-4.webp?v=1776166816,9,Close-up of a Pure Cotton Saree Black and Yellow  border on a textured surface,,,,,,,,,,,,,,,,,,,,,,,,,,
jharokha-pure-cotton-saree-cotton-saree-ijor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/JharokhaPureCottonSaree-8.webp?v=1776166329,10,Jharokha Pure Cotton Saree Black and Yellow with temple border held by a hand on a light background,,,,,,,,,,,,,,,,,,,,,,,,,,
lavender-pure-tissue-cotton-saree-with-rich-red-pallu,Lavender Pure Tissue Cotton Saree with Rich Red Border,"<h2>Key Features</h2>
<p>🧵 <strong>Fabric:</strong> Pure Tissue Cotton – Soft, lightweight, and breathable for all-day comfort</p>
<p>🎨 <strong>Color:</strong> Lavender body with a rich red pallu for a striking contrast</p>
<p>✨ <strong>Detailing:</strong> Power loom craftsmanship with elegant tissue texture</p>
<p>👗 <strong>Blouse Piece:</strong> Included (0.80 meters)</p>
<p>📏 <strong>Length:</strong> Saree – 5.5 meters | Blouse Piece – 1 meter</p>
<p>🚚 <strong>Shipping:</strong> Free delivery across India within 7-10 business days</p>
<p>💳 <strong>Payment:</strong> Cash on Delivery available</p>
<p>💰 <strong>Pricing:</strong> Inclusive of all taxes/GST included</p>
<p>🧼 <strong>Care Instructions:</strong> Dry clean or dry wash only</p>
<h2>Product Description</h2>
<p>The<strong> Lavender Pure Tissue Cotton Saree</strong> is a masterpiece that celebrates the timeless elegance of Indian heritage. Crafted with meticulous attention to detail, this saree features a delicate lavender hue that exudes grace and sophistication, beautifully complemented by a rich red pallu that adds a touch of regal charm.</p>
<p>Woven from pure tissue cotton, this saree offers an exquisite blend of lightweight comfort and luxurious texture. The soft, breathable fabric drapes effortlessly, creating fluid silhouettes that flatter every figure. Whether you're attending a festive celebration, a traditional ceremony, or an elegant evening gathering, this saree ensures you make a memorable impression.</p>
<p>Each piece reflects the artistry of skilled craftsmen who have perfected the power loom technique, ensuring consistent quality while honoring traditional weaving methods. The tissue cotton fabric catches the light beautifully, creating a subtle sheen that enhances its premium appeal.</p>
<p>Versatile and timeless, this saree is designed for the modern woman who values both tradition and comfort. Pair it with traditional jewelry for a classic look, or style it with contemporary accessories for a fusion ensemble. The included blouse piece allows you to customize your look to perfection.</p>
<p>Experience the pride of wearing a saree that embodies India's rich textile heritage while offering the comfort and elegance you deserve.</p>",Ijor Ethnic,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Saris & Lehengas,Pure Tissue Cotton,Saree,true,Title,Default Title,,,,,,,,168SDE326LPL,400.0,,0,deny,manual,1950.00,2599.00,true,true,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/Aarti.webp?v=1773234221,1,Woman wearing a Lavender Pure Tissue Cotton Saree with Rich Red Border with a black blouse indoors.,false,Lavender Pure Tissue Cotton Saree with Rich Red Pallu | Ijor Ethnic,"Lavender tissue cotton saree with red pallu. Soft, lightweight & breathable. Includes blouse piece. Free delivery & COD across India.",8248,,,,,,,,,,,,,,green,,,,,g,,400.00,active
lavender-pure-tissue-cotton-saree-with-rich-red-pallu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0702/5773/7865/files/Aarti-5.webp?v=1773234221,2,Woman wearing a Lavender Pure Tissue Cotton Saree with Rich Red Border with a black blouse against a neutral wall.,,,,,,,,,,,,,,,,,,,,,,,,,,
